geneID,median_adult Ce,mean_adult Ce
WBGene00000630,1.3713,1.4024
WBGene00000631,0.405089,0.769547
WBGene00000632,1.00E-10,0.169051
WBGene00000633,0.0589452,0.128737
WBGene00000634,1.18888,1.7237
WBGene00000636,2.71849,9.99212
WBGene00000637,0.259033,0.497849
WBGene00000638,8.73285,31.7843
WBGene00000639,2.05202,6.6949
WBGene00000640,0.51136,0.76163
WBGene00000641,5.01287,6.45434
WBGene00000642,0.242205,0.412821
WBGene00000644,1.71143,2.12929
WBGene00000645,0.171139,0.542754
WBGene00000646,1.24387,1.90958
WBGene00000647,5.31851,13.6198
WBGene00000648,0.0449639,0.0957158
WBGene00000649,14.8286,30.4818
WBGene00000650,1.39114,8.15911
WBGene00000651,0.0247481,0.087095
WBGene00000652,8.63393,10.7378
WBGene00000653,15.2738,29.403
WBGene00000654,1.00E-10,0.130796
WBGene00000655,0.426524,0.712977
WBGene00000656,1466.15,1244.15
WBGene00000657,214.42,552.462
WBGene00000658,0.277855,0.325877
WBGene00000659,0.394147,0.545017
WBGene00000660,0.600494,1.2486
WBGene00000661,0.270225,0.333511
WBGene00000662,0.0358637,0.0560517
WBGene00000663,2.59716,15.0079
WBGene00000664,1.58058,2.03622
WBGene00000665,3.28108,5.62439
WBGene00000666,3.92456,9.09262
WBGene00000667,63.7978,127.173
WBGene00000668,743.404,785.923
WBGene00000669,92.3435,144.938
WBGene00000670,222.814,381.62
WBGene00000671,29.1164,33.7574
WBGene00000672,9.09311,14.9662
WBGene00000673,505.179,474.379
WBGene00000674,1.64587,2.65114
WBGene00000675,477.56,798.998
WBGene00000676,0.0295578,0.082817
WBGene00000677,454.368,464.133
WBGene00000678,7.49574,12.0363
WBGene00000679,0.0700166,0.14698
WBGene00000680,1120.94,1083.59
WBGene00000681,13.2712,33.749
WBGene00000682,0.0658829,0.172622
WBGene00000683,5.24545,6.18884
WBGene00000684,0.95806,1.31402
WBGene00000685,3.0377,3.50011
WBGene00000687,3.29201,4.05338
WBGene00000688,0.108679,0.217448
WBGene00000689,0.974488,1.09256
WBGene00000690,1.59228,2.23
WBGene00000691,38.1954,72.4411
WBGene00000692,15.4695,23.846
WBGene00000693,2162.39,2541.84
WBGene00000694,3.28203,10.3916
WBGene00000695,1.05206,4.48593
WBGene00000696,1997.18,2164.26
WBGene00000697,0.234427,0.299233
WBGene00000698,2911.12,2278.25
WBGene00000699,25.0473,44.7843
WBGene00000700,0.932772,10.0727
WBGene00000701,0.877903,9.9007
WBGene00000702,0.155323,0.358295
WBGene00000703,359.177,638.379
WBGene00000704,4.85217,9.87868
WBGene00000705,0.277369,0.832604
WBGene00000706,0.217894,0.332751
WBGene00000707,22.1857,92.1166
WBGene00000708,3.68835,8.98281
WBGene00000709,0.046804,0.175522
WBGene00000710,0.705392,5.51584
WBGene00000711,4.9259,18.5632
WBGene00000712,409.518,611.242
WBGene00000713,2110.31,2658.33
WBGene00000714,0.8193,2.60058
WBGene00000715,166.152,258.417
WBGene00000716,630.128,934.137
WBGene00000717,32.2386,52.7878
WBGene00000718,3.65132,11.6818
WBGene00000719,19.6721,43.5197
WBGene00000720,30.4299,107.515
WBGene00000721,1.00E-10,0.201743
WBGene00000722,36.616,70.3713
WBGene00000723,5.40441,11.3003
WBGene00000724,0.132447,0.147835
WBGene00000725,0.24954,0.574917
WBGene00000726,3.43434,4.01588
WBGene00000727,10.1418,18.5047
WBGene00000728,16.8775,34.0437
WBGene00000729,2.58912,4.06048
WBGene00000730,4.19917,8.20335
WBGene00000731,2.95118,4.03378
WBGene00000732,181.291,364.948
WBGene00000733,791.279,817.725
WBGene00000734,10.2964,30.0495
WBGene00000735,7.28782,16.9658
WBGene00000736,0.0476696,0.0809232
WBGene00000737,0.0233279,0.0589779
WBGene00000738,1.97205,7.66246
WBGene00000739,25.4884,43.811
WBGene00000740,11.5438,30.9862
WBGene00000741,6.58014,13.7601
WBGene00000742,3.11051,6.01679
WBGene00000743,1.80973,4.67269
WBGene00000744,1.00E-10,0.042273
WBGene00000745,0.369409,0.829167
WBGene00000746,0.640008,1.02138
WBGene00000747,0.525659,0.661197
WBGene00000748,4.14963,11.7088
WBGene00000749,1.74884,2.201
WBGene00000750,0.39557,0.481702
WBGene00000751,1588.7,1446.4
WBGene00000752,584.095,723.613
WBGene00000753,7.80802,22.0937
WBGene00000754,1566.96,1877.19
WBGene00000755,0.669451,0.780532
WBGene00000756,0.413192,4.509
WBGene00000757,831.131,960.848
WBGene00000758,0.0471631,0.213192
WBGene00000759,0.891891,1.34705
WBGene00000760,0.179583,0.231379
WBGene00000761,24.1528,23.3866
WBGene00000762,25.4611,25.5011
WBGene00000763,31.5754,30.4965
WBGene00000764,22.597,21.7344
WBGene00000765,53.181,55.6071
WBGene00000766,29.0377,30.6618
WBGene00000767,36.0512,33.7885
WBGene00000768,7.35084,8.04296
WBGene00000770,30.3724,30.653
WBGene00000771,0.848526,8.77292
WBGene00000772,64.4992,64.2048
WBGene00000773,51.704,54.1861
WBGene00000774,57.3601,58.0526
WBGene00000775,5.56789,5.55468
WBGene00000776,1094.22,992.695
WBGene00000777,309.221,282.475
WBGene00000778,5.01112,7.45286
WBGene00000779,530.563,537.934
WBGene00000780,91.3369,90.362
WBGene00000781,491.532,682.791
WBGene00000782,0.166118,2.06948
WBGene00000783,8.63654,20.4181
WBGene00000784,296.196,398.286
WBGene00000785,138.468,192.897
WBGene00000786,698.231,615.269
WBGene00000787,45.4554,45.0853
WBGene00000788,301.847,364.708
WBGene00000789,38.9263,49.3804
WBGene00000792,1.76309,3.11747
WBGene00000793,28.0924,27.1604
WBGene00000794,103.82,103.444
WBGene00000795,17.6243,18.6022
WBGene00000796,40.7427,45.944
WBGene00000797,12.6214,12.9704
WBGene00000798,48.7285,48.5317
WBGene00000799,6.92423,7.72413
WBGene00000800,73.3374,70.9548
WBGene00000801,7.06034,7.21904
WBGene00000802,877.82,928.835
WBGene00000803,6.83975,6.97992
WBGene00000804,77.3949,81.7692
WBGene00000812,80.8299,95.7476
WBGene00000813,39.107,38.7194
WBGene00000814,51.6255,66.7576
WBGene00000815,48.8557,51.4077
WBGene00000816,35.9853,42.6917
WBGene00000817,69.4976,70.5675
WBGene00000818,49.7648,57.6748
WBGene00000819,0.832621,1.20348
WBGene00000820,0.384467,1.15091
WBGene00000821,0.195973,0.670988
WBGene00000822,88.4291,118.974
WBGene00000829,1390.96,1545.05
WBGene00000830,28.5149,27.1404
WBGene00000831,42.4458,48.9296
WBGene00000832,9.11732,10.7169
WBGene00000833,471.71,521.279
WBGene00000834,25.0248,27.0029
WBGene00000835,132.951,169.223
WBGene00000836,56.0828,49.9861
WBGene00000837,84.3135,77.1022
WBGene00000838,149.572,132.451
WBGene00000839,27.4443,29.0355
WBGene00000840,23.7422,28.181
WBGene00000841,1.54642,2.04708
WBGene00000843,149.747,135.455
WBGene00000845,4.55096,4.70351
WBGene00000846,36.5268,37.9979
WBGene00000851,0.126175,0.144029
WBGene00000853,0.501179,1.04977
WBGene00000854,25.1646,29.3045
WBGene00000857,4.1004,5.81557
WBGene00000858,1.71861,2.78577
WBGene00000859,1.00E-10,16.1002
WBGene00000860,1.00E-10,15.7554
WBGene00000861,1.00E-10,0.737878
WBGene00000862,0.476917,0.90523
WBGene00000863,47.8797,46.3223
WBGene00000864,0.574848,0.752139
WBGene00000865,329.169,309.837
WBGene00000866,146.284,142.906
WBGene00000867,181.853,185.29
WBGene00000868,544.513,535.768
WBGene00000869,213.452,219.156
WBGene00000870,7.11801,10.7925
WBGene00000871,55.876,66.1121
WBGene00000872,14.3321,17.2753
WBGene00000874,23.9457,24.4028
WBGene00000875,117.143,117.744
WBGene00000876,55.335,69.697
WBGene00000877,167.64,181.26
WBGene00000878,9.74457,67.7687
WBGene00000879,541.438,506.953
WBGene00000880,36.7007,41.5673
WBGene00000881,507.258,508.808
WBGene00000882,30.3735,38.0477
WBGene00000883,2470.2,2337.17
WBGene00000884,14.8434,20.3671
WBGene00000885,43.0896,42.7633
WBGene00000886,115.136,118.772
WBGene00000887,97.985,87.6593
WBGene00000888,98.722,95.6677
WBGene00000889,71.8529,86.6696
WBGene00000890,32.9369,41.992
WBGene00000891,26.6816,27.1551
WBGene00000892,16.7727,23.1056
WBGene00000893,0.418255,0.814576
WBGene00000894,158.204,163.358
WBGene00000895,0.854392,1.07186
WBGene00000896,363.778,359.072
WBGene00000897,15.3462,14.0679
WBGene00000898,26.6869,29.4206
WBGene00000899,10.3865,10.9911
WBGene00000900,16.4375,16.2634
WBGene00000901,16.2791,14.9858
WBGene00000902,0.348806,0.564738
WBGene00000903,1.90694,2.49255
WBGene00000904,5.45364,5.87147
WBGene00000905,0.787056,0.809523
WBGene00000906,0.241368,0.391564
WBGene00000907,0.145816,0.248305
WBGene00000908,5.06627,5.45932
WBGene00000910,7.91623,8.43001
WBGene00000911,29.3542,33.2207
WBGene00000912,63.2057,60.3177
WBGene00000913,128.262,154.775
WBGene00000914,11.2696,10.3693
WBGene00000915,1292.8,1293.32
WBGene00000917,25.4683,23.2416
WBGene00000920,7.34052,9.53528
WBGene00000923,124.083,131.152
WBGene00000928,21.5782,48.9896
WBGene00000929,25.0587,36.452
WBGene00000930,0.336905,1.36892
WBGene00000931,99.634,96.2346
WBGene00000932,1.57218,5.50368
WBGene00000933,42.196,39.736
WBGene00000934,0.402221,0.620681
WBGene00000935,171.101,161.635
WBGene00000936,2.48837,2.76401
WBGene00000937,22.7593,27.0306
WBGene00000938,35.218,37.8005
WBGene00000939,21.6931,26.9485
WBGene00000940,71.0415,82.5329
WBGene00000941,236.838,394.563
WBGene00000942,29.0591,32.9259
WBGene00000950,0.995855,1.23564
WBGene00000951,0.922968,1.21695
WBGene00000952,0.34871,0.414147
WBGene00000953,0.455448,0.576893
WBGene00000955,0.975179,1.33477
WBGene00000958,1.69313,2.35749
WBGene00000959,14.2483,17.2934
WBGene00000960,0.14382,0.230488
WBGene00000961,15.3195,19.2754
WBGene00000962,35.9909,42.2005
WBGene00000963,6.44875,8.03474
WBGene00000964,7.32061,6.86506
WBGene00000965,41.2632,47.4081
WBGene00000966,9.00756,15.1169
WBGene00000967,61.4127,70.4545
