Gene,Start
WBGene00003412,1
WBGene00004855,1
WBGene00004856,1
WBGene00003411,1
WBGene00004876,1
WBGene00003407,1
WBGene00004886,1
WBGene00004895,1
WBGene00003405,1
WBGene00004958,1
WBGene00003404,1
WBGene00004902,1
WBGene00004904,1
WBGene00004927,1
WBGene00004929,1
WBGene00010315,1
WBGene00004932,1
WBGene00004946,1
WBGene00003393,1
WBGene00004831,1
WBGene00003415,1
WBGene00004826,1
WBGene00003422,1
WBGene00003559,1
WBGene00004732,1
WBGene00003555,1
WBGene00003516,1
WBGene00003507,1
WBGene00004743,1
WBGene00003482,1
WBGene00003479,1
WBGene00003471,1
WBGene00004756,1
WBGene00004759,1
WBGene00004765,1
WBGene00004768,1
WBGene00004775,1
WBGene00004779,1
WBGene00004782,1
WBGene00003423,1
WBGene00004787,1
WBGene00004789,1
WBGene00003387,1
WBGene00004969,1
WBGene00001596,1
WBGene00003246,1
WBGene00005423,1
WBGene00005488,1
WBGene00005507,1
WBGene00005551,1
WBGene00003368,1
WBGene00003367,1
WBGene00003258,1
WBGene00005642,1
WBGene00005670,1
WBGene00003238,1
WBGene00004984,1
WBGene00005717,1
WBGene00005724,1
WBGene00003221,1
WBGene00005779,1
WBGene00003186,1
WBGene00005845,1
WBGene00003175,1
WBGene00005883,1
WBGene00003172,1
WBGene00005404,1
WBGene00005358,1
WBGene00005331,1
WBGene00005316,1
WBGene00004985,1
WBGene00004992,1
WBGene00004994,1
WBGene00003376,1
WBGene00005024,1
WBGene00003374,1
WBGene00005063,1
WBGene00005068,1
WBGene00005077,1
WBGene00005078,1
WBGene00005081,1
WBGene00005111,1
WBGene00005122,1
WBGene00005153,1
WBGene00005174,1
WBGene00005183,1
WBGene00005207,1
WBGene00005282,1
WBGene00005299,1
WBGene00004719,1
WBGene00004703,1
WBGene00004470,1
WBGene00003822,1
WBGene00003837,1
WBGene00004104,1
WBGene00004111,1
WBGene00004112,1
WBGene00004115,1
WBGene00003830,1
WBGene00003827,1
WBGene00004129,1
WBGene00004130,1
WBGene00004131,1
WBGene00003566,1
WBGene00004134,1
WBGene00003808,1
WBGene00003801,1
WBGene00004161,1
WBGene00003800,1
WBGene00004166,1
WBGene00004169,1
WBGene00003797,1
WBGene00004191,1
WBGene00004101,1
WBGene00004095,1
WBGene00003840,1
WBGene00004093,1
WBGene00003936,1
WBGene00003941,1
WBGene00003889,1
WBGene00003885,1
WBGene00003978,1
WBGene00003981,1
WBGene00003994,1
WBGene00004010,1
WBGene00004011,1
WBGene00004013,1
WBGene00004017,1
WBGene00004025,1
WBGene00004029,1
WBGene00004032,1
WBGene00004038,1
WBGene00004043,1
WBGene00003883,1
WBGene00004077,1
WBGene00004085,1
WBGene00003794,1
WBGene00003791,1
WBGene00003790,1
WBGene00004335,1
WBGene00003674,1
WBGene00003668,1
WBGene00003661,1
WBGene00004344,1
WBGene00003657,1
WBGene00003656,1
WBGene00004357,1
WBGene00003639,1
WBGene00004364,1
WBGene00004367,1
WBGene00004381,1
WBGene00004389,1
WBGene00003625,1
WBGene00003611,1
WBGene00004414,1
WBGene00003602,1
WBGene00004462,1
WBGene00003593,1
WBGene00003588,1
WBGene00004338,1
WBGene00003676,1
WBGene00004203,1
WBGene00004332,1
WBGene00004213,1
WBGene00003787,1
WBGene00003777,1
WBGene00004216,1
WBGene00003748,1
WBGene00003735,1
WBGene00004221,1
WBGene00004225,1
WBGene00004233,1
WBGene00004236,1
WBGene00004259,1
WBGene00004267,1
WBGene00004308,1
WBGene00004313,1
WBGene00003696,1
WBGene00003678,1
WBGene00004316,1
WBGene00004319,1
WBGene00004323,1
WBGene00005965,1
WBGene00006039,1
WBGene00006087,1
WBGene00002056,1
WBGene00006928,1
WBGene00006931,1
WBGene00002123,1
WBGene00006938,1
WBGene00002066,1
WBGene00006955,1
WBGene00006957,1
WBGene00006959,1
WBGene00006970,1
WBGene00002053,1
WBGene00002203,1
WBGene00002050,1
WBGene00006988,1
WBGene00002044,1
WBGene00006997,1
WBGene00006999,1
WBGene00007014,1
WBGene00002011,1
WBGene00007017,1
WBGene00007020,1
WBGene00006924,1
WBGene00002140,1
WBGene00002143,1
WBGene00006920,1
WBGene00006790,1
WBGene00006796,1
WBGene00006804,1
WBGene00006805,1
WBGene00002198,1
WBGene00002184,1
WBGene00006808,1
WBGene00006809,1
WBGene00006820,1
WBGene00006823,1
WBGene00006830,1
WBGene00006831,1
WBGene00006836,1
WBGene00006843,1
WBGene00006861,1
WBGene00006868,1
WBGene00002182,1
WBGene00002174,1
WBGene00006915,1
WBGene00007025,1
WBGene00002000,1
WBGene00007028,1
WBGene00007284,1
WBGene00007313,1
WBGene00007314,1
WBGene00007327,1
WBGene00001796,1
WBGene00001768,1
WBGene00001766,1
WBGene00001709,1
WBGene00007348,1
WBGene00001705,1
WBGene00007349,1
WBGene00001683,1
WBGene00007430,1
WBGene00001666,1
WBGene00001647,1
WBGene00007446,1
WBGene00001624,1
WBGene00001608,1
WBGene00007492,1
WBGene00007503,1
WBGene00007307,1
WBGene00007235,1
WBGene00007030,1
WBGene00001803,1
WBGene00007048,1
WBGene00007050,1
WBGene00001993,1
WBGene00001987,1
WBGene00007071,1
WBGene00007100,1
WBGene00007108,1
WBGene00007116,1
WBGene00007137,1
WBGene00007141,1
WBGene00007154,1
WBGene00001857,1
WBGene00007166,1
WBGene00003931,1
WBGene00001828,1
WBGene00007188,1
WBGene00007212,1
WBGene00007230,1
WBGene00001817,1
WBGene00006788,1
WBGene00002205,1
WBGene00006120,1
WBGene00003006,1
WBGene00006391,1
WBGene00006396,1
WBGene00006423,1
WBGene00006428,1
WBGene00006432,1
WBGene00003020,1
WBGene00003012,1
WBGene00006439,1
WBGene00006463,1
WBGene00006476,1
WBGene00006781,1
WBGene00006477,1
WBGene00006479,1
WBGene00003002,1
WBGene00002996,1
WBGene00002991,1
WBGene00002978,1
WBGene00006498,1
WBGene00006508,1
WBGene00006524,1
WBGene00003036,1
WBGene00003047,1
WBGene00003060,1
WBGene00006373,1
WBGene00003149,1
WBGene00003142,1
WBGene00006150,1
WBGene00006157,1
WBGene00006183,1
WBGene00003123,1
WBGene00003111,1
WBGene00006189,1
WBGene00003107,1
WBGene00006251,1
WBGene00006266,1
WBGene00006282,1
WBGene00006306,1
WBGene00003100,1
WBGene00006331,1
WBGene00003090,1
WBGene00006352,1
WBGene00003064,1
WBGene00003063,1
WBGene00002915,1
WBGene00006532,1
WBGene00006533,1
WBGene00002251,1
WBGene00006718,1
WBGene00002245,1
WBGene00002244,1
WBGene00006742,1
WBGene00002241,1
WBGene00006749,1
WBGene00006750,1
WBGene00006752,1
WBGene00002228,1
WBGene00002226,1
WBGene00006759,1
WBGene00006762,1
WBGene00006763,1
WBGene00002222,1
WBGene00006767,1
WBGene00006768,1
WBGene00002219,1
WBGene00006771,1
WBGene00006779,1
WBGene00002248,1
WBGene00006695,1
WBGene00006535,1
WBGene00002252,1
WBGene00002717,1
WBGene00006541,1
WBGene00006563,1
WBGene00002632,1
WBGene00006565,1
WBGene00006567,1
WBGene00006571,1
WBGene00006587,1
